Name	Set	ImageFile	Number	CardType	Level	PowerKind	VirtueScoreOrSinnieDefense	FellowshipScoreKind	FellowshipScorePoints	ActivationCost	AbilityText	Weakness	Attribute	VerseReference	VerseText	Artist	Script
Beeliever 1	CT	1_Beeliever.jpg	1	Virtuous	1	Faith	6			FU	ACTION: Search your discard pile for any 1 F Animo and put it in your hand		Saving Faith	Acts 16:31		Danh Tran Art	
Halfalanche 1	CT	2_Halfalanche.jpg	2	Virtuous	1	Faith	6			FF			Child of God	Galatians 3:26		Joshua Wegner	
Halfalanche 2	CT	3_Halfalanche2.jpg	3	Virtuous	2	Faith	10			FFF	ACTION: You may shuffle up to 5 of any combination of F powers and/or F Animo from your discard pile back into your deck.		Mountain Mover	Matthew 20:7b		Danh Tran Art	
Pumkindle 1	CT	4_Pumkindle.jpg	4	Virtuous	1	Faith	4			Fx	ACTION: Shuffle three cards from your discard pile back into your deck.		Renewed	Psalm 51:10		Joshua Wegner	
Fetchie 1	CT	5_Fetchie.jpg	5	Virtuous	1	Faith	5			Fx			Obedient	Romans 2:13		Joshua Wegner	
Trusty 1	CT	6_Trusty.jpg	6	Virtuous	1	Faith	5			FF			Things Unseen	2 Corinthians 4:28		Joshua Wegner	
Trusty 2	CT	7_Trusty2.jpg	7	Virtuous	2	Faith	12			FFUx	ACTION: You may exchange 1 card from your discard pile with 1 card from your hand.		Faith Walk	2 Corinthians 5:7		Danh Tran Art	
Armorino 1	CT	8_Armorino.jpg	8	Virtuous	1	Faith	5			Fx	ABILITY: Once per turn, as long as this card is in your small group, you may place 1 F power from your discard pile into your power pool.		Fearless	Romans 8:31		Joshua Wegner	
Armorino 2	CT	9_Armorino2.jpg	9	Virtuous	2	Faith	9			FFx			Victorious	1 Corinthians 15:57		Danh Tran Art	
Armorino 3	CT	10_Armorino3.jpg	10	Virtuous	3	Faith	10	S	15	FFFx	ABILITY: As long as this card remains in play, your opponent's Sinnies actions or abilities have no effect.		Extinguish	Ephesians 6:16		Danh Tran Art	
Troobloo 1	CT	11_Troobloo.jpg	11	Virtuous	1	Faith	6			FU	ABILITY: If this card is in your small group you may swap it with any level 1 Virtuous Animo in your discard pile (excluding Ultra Animo).		Integrity	Titus 2:7		Joshua Wegner	
Sparkube 1	CT	12_Sparkube.jpg	12	Virtuous	1	Faith	3	H	5	F			Spark of Truth	2 Corinthians 4:6 (NIV)		Joshua Wegner	
Stagnetic 1	CT	13_Stagnetic.jpg	13	Virtuous	1	Faith	10			FUUx	ABILITY: If there are at least 3 F power cards in your discard pile this card has no activation cost.		Standing Firm	Philippians 4:1		Danh Tran Art	
Armorino ULTRA 1	CT	14_Armorino_ULTRA.jpg	14	Virtuous	1	Faith	16			FxFxFx			Shielded	Psalm 28:7 (KJV)		Danh Tran Art	
